fecha	dds	variedad	sistema	rendimiento	NDVI	CIGREEN	CVI	EVI 	GNDVI	LCI	MCARI	RECL	SAVI
19/06/2023	88	Capirona	Tradicional	6867	0.961	10.984	2.653	0.781	0.84	0.733	1.31	55.325	0.694
19/06/2023	88	Capirona	Cordel	6539	0.952	9.443	2.543	0.787	0.819	0.713	1.166	43.329	0.697
19/06/2023	88	Capirona	Cordel	7959	0.948	9.583	2.779	0.805	0.821	0.715	1.082	40.516	0.706
19/06/2023	88	Capirona	Cordel	7090	0.946	9.628	2.882	0.851	0.821	0.718	1.093	39.045	0.737
19/06/2023	88	Capirona	Cordel	7972	0.951	10.006	2.862	0.834	0.828	0.722	1.154	42.461	0.726
19/06/2023	88	Conquista_certificada	Tradicional	8371	0.958	11.854	3.47	0.743	0.85	0.758	0.82	47.565	0.668
19/06/2023	88	Conquista_certificada	Tradicional	8146	0.962	13.486	3.915	0.735	0.867	0.779	0.763	53.654	0.664
19/06/2023	88	Conquista_certificada	Tradicional	9278	0.967	14.551	3.881	0.783	0.876	0.792	0.86	62.809	0.698
19/06/2023	88	Conquista_certificada	Tradicional	6927	0.967	14.581	3.92	0.792	0.876	0.786	0.938	62.616	0.705
19/06/2023	88	Conquista_certificada	Tradicional	8253	0.967	14.303	3.801	0.742	0.874	0.787	0.834	61.776	0.67
19/06/2023	88	Conquista_certificada	Tradicional	7049	0.954	10.838	3.212	0.714	0.84	0.738	0.874	43.752	0.646
19/06/2023	88	Conquista_registrada	Cordel	8259	0.955	11.812	3.602	0.759	0.851	0.756	0.837	45.971	0.677
19/06/2023	88	Conquista_registrada	Cordel	5434	0.96	12.392	3.461	0.759	0.857	0.761	0.938	52.273	0.677
19/06/2023	88	Conquista_registrada	Cordel	6647	0.955	12.162	3.736	0.744	0.854	0.758	0.798	46.685	0.665
19/06/2023	88	Conquista_registrada	Cordel	5564	0.952	11.216	3.487	0.69	0.844	0.746	0.74	43.061	0.626
19/06/2023	88	Conquista_registrada	Cordel	8031	0.958	12.084	3.528	0.756	0.854	0.758	0.855	48.71	0.676
19/06/2023	88	Conquista_registrada	Cordel	5522	0.956	11.613	3.376	0.772	0.848	0.752	0.912	47.026	0.685
19/06/2023	88	Esperanza	Cordel	6500	0.942	8.736	2.648	0.661	0.807	0.68	1.029	36.771	0.604
19/06/2023	88	Esperanza	Cordel	8360	0.949	9.333	2.669	0.714	0.818	0.704	1.077	40.63	0.642
19/06/2023	88	Esperanza	Cordel	8895	0.951	11.173	3.445	0.749	0.841	0.75	0.796	43.38	0.667
19/06/2023	88	Esperanza	Cordel	9393	0.958	12.306	3.693	0.767	0.854	0.766	0.817	47.999	0.682
19/06/2023	88	Esperanza	Cordel	9192	0.95	10.748	3.369	0.742	0.838	0.743	0.83	41.162	0.661
19/06/2023	88	Esperanza	Cordel	7800	0.954	11.165	3.328	0.709	0.842	0.745	0.807	44.757	0.639
